KommentarId,QuellenId,Plattform,Datum,Length,KommentarDEU
70469168,1,ZeitOnline,20240619142523,143,"An own goal as a very fair play!Deutschlands Fußballgegner war diesmal so schwach, man fühlte sich verpflichtet, auch eins für ihn zu erzielen."
70407982,1,ZeitOnline,20240615080802,89,Schottland verliert mit Null Schüssen auf‘s Tor. Aber trotzdem 1(!):5. Beeindruckend! 😳😱😅
70407629,1,ZeitOnline,20240615074254,165,Gegen diese extrem  harmlose schottische Mannschaft hätte unsere Dorf  A-Jugend Mannschaft auch gewonnen. Schauen wir mal was gegen  die Schweiz und Ungarn passiert.
70406911,1,ZeitOnline,20240615064745,358,"Dieses Spiel war sehr schön! Allerdings ist es kein Maßstab für kommende Aufgaben, die wesentlich schwerer werden. Die Schweiz und Ungarn werden ihre Lehren aus dem Spiel ziehen. Die euphorischen schottischen Fans tun mir wirklich leid, eine katastrophle Vorstellung ihrer Mannschaft ansehen zu müssen. Diese Art von ""Leiden"" kennen wir ja selbst gut genug. "
70406821,1,ZeitOnline,20240615064019,234,"Ich fand auch das Eigentor gut. Erstmal weil's so kurios war, dass man das mit Absicht niemals hinbekommen würde.  Die schottischen Fans haben danach Party gemacht als stünden sie kurz vor dem Sieg -  von dieser Sorte Fans gerne mehr!"
70406778,1,ZeitOnline,20240615063633,707,"Die deutsche Mannschaft war stark.""Die Schotten"" bis zum Platzverweis überhart.Das lag vor allem am wieder mal schwachen Schiedsrichter Turpin.Der kapiert einfach nicht, dass man unangemessene Härte und Unsportlichkeiten von Beginn an unterbinden muss. Da braucht's nicht immer gleich Gelb - aber eine klare Ansprache bei Fouls, wie sie von den Schotten zuhauf kamen (Ellbogenschlag, von hinten in die Beine, taktische Fouls ...).Und eine lächerliche gelbe Karte gegen Andrich als erste größere Sanktion.Der Mann (Turpin) hatte Glück, dass wegen seine laxen Haltung Gündogan bei dem brutalen Foul (linkes Bein bewusst gegen seinen Knöchel, rechtes als Schere von hinten rein) nicht das Bein gebrochen wurde."
70405103,1,ZeitOnline,20240614234201,374,"Das sah richtig gut aus. Wenn die Jungs so weiter spielen, kann es spannend werden. Aber so gut sich das erste Spiel anlässt, es hat bei mir nur gereicht, den Zynismus abzulegen und der Mannschaft eine Chance zu geben nach den Debakeln der letzten Jahre. Und: wieder nicht zu Null. Wie (fast) immer. Ich fürchte, das wird sich im Verlauf des Turniers rächen. Warten wir ab. "
70404961,1,ZeitOnline,20240614230519,83,"Nanu, ich dachte, die Ampel-Regierung macht alles kaputt inklusive des Fußballs?!?!"
70404950,1,ZeitOnline,20240614230222,215,Freue mich über das Spiel und das Ergebnis. Aber ich frage mich auch ob Schottland das Spiel gegen die Ukraine gesehen hat. Ich mein ja nur. Da hat man gesehen wie man es uns schwer machen kann. So jedenfalls nicht.
70404908,1,ZeitOnline,20240614225213,146,"Schottland war stärker als Brasilien 2014. Das sagt das Ergebnis mehr als deutlich. :-)Gute Leistung vom Team, Kroos ist die Zentrale, großartig. "
70404896,1,ZeitOnline,20240614225022,166,Aber Christoph Kramer hat es in der Analyse schon gesagt: Die Schotten waren taktisch falsch eingestellt. Die Ungarn und die Schweizer werden das wohl anders angehen.
70404876,1,ZeitOnline,20240614224710,378,"Ich fand diesen Cartoon/ Zeichentrick-Einspielfilm am Anfang ziemlich schräg.Erstes Image schwarze Frau, kurz danach arabischer Mann, danach noch mehrere Menschen mit diversen Haut- und Haarfarben, aber kaum blonde/ hellbraune/dunkelbraune Haare. Tendenz eher klischeemässig migrantisch.Ich bin absolut für Diversität und Inklusion, aber so platt, plakativ und unrepräsentativ? "
70404804,1,ZeitOnline,20240614223212,87,@ Florian Eichel (“Die Welt zu Gast bei Feinden”)Wie haltbar ist Ihre These jetzt noch?
70404790,1,ZeitOnline,20240614222927,164,richtig geil von nagelsmann das er can noch gebracht hat. sehr guter move um emre direkt ins team zu integrieren. das emre sich direkt dafür bedankt machts perfekt.
70404785,1,ZeitOnline,20240614222810,114,Beeindruckend!Wieviele der Torschützen kamen aus Dortmund? Terzić hat ganz offensichtlich viel richtig gemacht ...
70404756,1,ZeitOnline,20240614222329,495,"Wir scheinen mal wieder ein Team zu haben, das seine Pflichtangaben erledigt und vielleicht so ins Rollen kommt, dass auch ein Finale möglich wird. Immerhin haben wir in der Vorbereitung 2x die Franzosen geschlagen. Womit ich nicht gut klarkomme ist die künstliche Überinszenierung des Events .Wenn man das alles 2 Klassen runterdimmen könnte, sich auf Fussball konzentrieren und nicht alles ins perfekte Gemälde von Diversität und Sommermärchen passen müsste, dann wäre es mir weniger peinlich."
70404723,1,ZeitOnline,20240614221853,28,Ein herrliches Fußballfest! 
70404722,1,ZeitOnline,20240614221841,311,"Ich bin gerade in meiner Stadt unterwegs. Keine große Ahnung von Fußball, aber ich sehe überall Leute am Feiern und einen fröhlich-schwarz-rot-goldenen Autokorso, der gar nicht mehr enden will. Man merkt richtig, wie gut das den Menschen nach all den bedrückenden Nachrichten über tut. Freut mich ausgesprochen."
70404689,1,ZeitOnline,20240614221348,131,"Die Schotten waren nicht dicht, soviel steht fest. Sie werden auch wieder bessere Tage haben. Glückwunsch an die deutschen Spieler."
70404686,1,ZeitOnline,20240614221315,223,"Das Intro mit Heidi Beckenbauer, Dietz und Klinsmann fand ich etwas schräg. Dass die drei den Pokal bringen, ist ja OK, aber warum mussten die so lange quasi unbeweglich da rumstehen? Wer hat sich das ausgedacht? Und warum?"
70404685,1,ZeitOnline,20240614221311,169,Also meiner Laune war das Spiel.sehr zuträglich. Kann gerne so weitergehen. Das Eigentor ist bei dem Ergebnis nicht schlimm. Und kann jedem Abwehrspieler mal passieren. 
70404684,1,ZeitOnline,20240614221302,83,Warum Müller eingewechselt wurde werde ich nie verstehen. Der bringt es nicht mehr.
70404680,1,ZeitOnline,20240614221242,135,Ohne den BVB geht dieses Jahr nichts in Europa ☺️ Sane kann mal getrost aber der Bank bleiben. Der hat ja jeden zweiten Ball verdaddelt
70404640,1,ZeitOnline,20240614220605,126,"Gut gespielt gegen unsortierte Gegner. Schöne Tore! Passt!Neuer! Alle Schüsse aufs Tor reingelassen, keinen gehalten. Schlimm!"
70404636,1,ZeitOnline,20240614220436,29,"schöner Start, hat Potential "
70404607,1,ZeitOnline,20240614220120,47,"Einigkeit, Freiheit und Recht auf Vielfalt 🇩🇪❤️"
70404596,1,ZeitOnline,20240614215938,55,"Schade, da Neuer das Eigentor nicht verhindern konnte. "
70404574,1,ZeitOnline,20240614215648,284,"Die Schotten war schwach aber wie haben wir in den letzten Turnieren gegen ""schwache Mannschaften"" gespielt? Die Spieler waren auch damals gut. Jetzt scheinen sie aber Bock zu haben. Wie es gegen hochkarätige disziplinierte Mannschaften aussieht sei dahingestellt. Schaun mer mal. :-)"
70404572,1,ZeitOnline,20240614215636,58,"Ein schönes Ergebnis, ein gelungener Start in das Turnier!"
70404551,1,ZeitOnline,20240614215410,212,Nach dem 7. herbeigemühten Omenbezug des ZDF Kommentator Kaspers habe ich  ausgeschaltet. Diese deutsche Biedermeierhaftigkeit der ÖR ist unerträglich. Dann noch lieber den Prolo Fuss.  Ist ohnehin authentischer.
70404544,1,ZeitOnline,20240614215347,192,"Das ist ja super. Zur gleichen Zeit fiel mein ICE Sprinter nach Berlin aus, und der Ersatz-ICE hat 40 min. Verspätung. Jetzt ratet mal, was ich langfristig für relevanter (auch für D) erachte."
70404532,1,ZeitOnline,20240614215225,275,Wirtz und Musiala beim Kicken zuzuschauen macht sehr viel Spaß. Vor allem die Dribblings von Musiala auf engstem Raum. Eine Augenweide. Die ganze Offensive war sehr spielfreudig. Wie wichtig ein guter Turnierstart ist hat man ja die letzten Turniere leidvoll erfahren müssen.
70404498,1,ZeitOnline,20240614214703,69,"Jetzt Fähnchen und Spiegelschlüpfer ans Auto, dann wird‘s was!!! ✌️🇩🇪"
70404417,1,ZeitOnline,20240614213622,107,Ich sag's mal ganz platt: für den Anfang nicht schlecht! 🇩🇪(Und hier sind meine 5 💶 für's Phrasenschwein) 😊
70404408,1,ZeitOnline,20240614213533,376,"Gratulation zum Sieg, tolles Spiel. Kritik: 1. Toll war das Spiel nur in der ersten Halbzeit. Die Zweite war langweilig.2. Zu viele Fehler bei Anspiel, Ballannahme, Abschluß. Gegen ein richtig gute Mannschaft  (und die kommen noch auf uns zu) sehe ich schwarz. Die vorgenannten Fehler machste z.B. gegen Frankreich genau einmal. Dann rappelt es im Kasten. Und zwar in Unserem."
70404402,1,ZeitOnline,20240614213509,78,"Zeit das ist keine eilmeldung, bitte last mich alle sport Meldungen  austellen"
70404389,1,ZeitOnline,20240614213350,52,Liebste Moderation: Schon mal was von Ironie gehört?
70404382,1,ZeitOnline,20240614213229,274,"Eilmeldung: Deutschland hat ein Spiel gewonnen - Ernsthaft?Ich bin auch Fussballfan und hab mir das Spiel gerne angeschaut, aber eine Eilmeldung ist diese Nachricht nicht wert, bei aller Liebe. Ansonsten lässt die aktuelle deutsche Mannschaft einen hoffen, also weiter so :)"
70404374,1,ZeitOnline,20240614213109,344,"Wenn der Sieg dem Team Zuversicht und Vertrauen gibt, ist dies unbezahlbar.Ich freu mich für das Team und wünsche mir dass sie an den kommenden Gegner als Mannschaft wachsen…mit den Fans…mit Deutschland.Wenn ich an Stuttgart 2006 denke, Spiel um den dritten Platz und jetzt am Mittwoch…Vorfreude pur.Ich sag mal populistisch…ist das nicht geil."
70404360,1,ZeitOnline,20240614212927,185,"Hoffe das die Jungs einen kühlen Kopf bewahren und weiter so machen. Aber ich denke gegen Torgefährlichere Gegner muss Deutschland noch bestehen, und auch mal einen Rückstand aufholen. "
70404359,1,ZeitOnline,20240614212925,177,"Das war ein tolles Spiel. Aber von den Schotten war ich schon enttäuscht, so stelle ich mir Schotten nicht vor. Das waren ja lauer Milchbubis und Kilts hatten die auch nicht an."
70404339,1,ZeitOnline,20240614212712,39,stark gespielt. Deutschland kommt weit!
70404330,1,ZeitOnline,20240614212618,25,Sommermärchen incoming 🇩🇪
70404327,1,ZeitOnline,20240614212559,74,Geiles Spiel. Aber was weh tut: „Die EM wird Ihnen präsentiert von Qatar.“
70404307,1,ZeitOnline,20240614212435,124,Guter Start. Ohne Wirtz und Musiala ging der Zug zum Tor etwas verloren. Aber vielleicht wollte die Mannschaft sich schonen.
70404304,1,ZeitOnline,20240614212425,18,GEIL - O -MAT !!!!
70404296,1,ZeitOnline,20240614212339,41,Jamal Musiala. Ein Juwel der Mannschaft. 
70404273,1,ZeitOnline,20240614212129,60,"Um's mit Papa Heuss zu sagen: ""Nun siegt 'mal schön"" weiter!"
70404267,1,ZeitOnline,20240614212116,211,"Ein Traumstart.Nicht nur vom Ergebnis, sondern auch vom Ablauf. Frühes Tor vom Jüngsten, dann Musiala, Havertz kann doch Elfer, Füllkrug kommt von der Bank und trifft und kurz vom Schluss der nachnominierte Can."
70404263,1,ZeitOnline,20240614212048,242,"Ja das habe ich so nicht erwartet, einen knappen Sieg, vllt. sogar eine knappe Niederlage, aber dass die die so abziehen, wirklich.Kritisch anmerken möchte ich, dass die während des Spiels kein Iglo gebaut haben. Okay, es war kein Schnee da. "
70404257,1,ZeitOnline,20240614211957,274,"Tolles Ergebnis, toller Auftakt. Und bitte liebe Experten, haltet euch mit euren schlauen Analysen zurück. Macht das Spiel nicht gleich wieder kaputt und faselt auch nicht sofort wieder vom Favoritendasein. Lasst uns einfach in Ruhe mit euren Weisheiten und die EM genießen."
70404218,1,ZeitOnline,20240614211539,49,"Das hat echt Spaß gemacht, so darf‘s weitergehen!"
70404211,1,ZeitOnline,20240614211520,941,"Ein solider und letztlich überzeugender Auftritt der Verbandsauswahl, wenn auch gegen einen biederen Gegner. So wünscht man sich ein Eröffnungsspiel.Anzumerken nur wenige Punkte: * Gelegentliche, fast verwundernde technische Defizite bei Kimmich und Mittelstädt. Könnte gegen stärkere und pfiffigere Gegenspieler ins Auge gehen. (Außerdem hat Mittelstädt das Schusstraining geschwänzt.)* Kroos' Diagonalbälle - mehr davon! Selbst wenn der Adressat Kimmich heißt.* Gündogan auf sinnvoller Position; im Angriff. Schöne Pässe. Harmonierte nicht mit Havertz; nach meinem Gefühl standen sie sich oft im (Lauf-) Weg.* Füllkrug und Can haben gezeigt, was ein Einwechselspieler zeigen muss. Sané überhaupt nicht (fahrig bis sich überschätzend. Und wieder dieses Abwinken). Müller? Naja, er hat mitgejubelt.* VAR - Beleg für den Sinn der Sache. Dazu ein recht souveräner Schiri und wenig bis kein Gemeckere seitens der Spieler. Sollte das doch gehen?"
70404208,1,ZeitOnline,20240614211512,194,"Ich werde wohl nie verstehen, warum Nationalspieler nach einem 5:0 gegen einen schlecht spielenden Gegner so extrem jubeln als hätten sie das Siegtor in einem hart umkämpften Finale geschossen. "
70404198,1,ZeitOnline,20240614211426,182,"Nicht besonders hochklassiger Gegner, es war aber ein Ansatz von Einsatz zu sehen. Verbesserungsfähig. Früher ist das deutsche Team mit den Aufgaben gewachsen. Es gibt also Hoffnung."
70404191,1,ZeitOnline,20240614211324,70,Beim heiligen Dudelsack das war ja ein Loch Ness das schottische Tor. 
70404190,1,ZeitOnline,20240614211322,162,Endlich bringen wir mal unsere Qualität auch auf den Platz.Wir waren zu verkopft bei den letzten Turnieren. Die zwei Joungstars machen mental echt den Unterschied
70404186,1,ZeitOnline,20240614211254,80,Die Schotten waren nicht dicht. Aber das wird sich jetzt nach dem Spiel ändern. 
70404184,1,ZeitOnline,20240614211237,162,"Und jetzt Fußballhasser und Trolle Vollgas!Schönes Spiel, bin gespannt wie die nächsten werden. Die heutige Leistung macht Hoffnung auf ein erfolgreiches Turnier."
70404175,1,ZeitOnline,20240614211130,108,Geniales Spiel. Unglaubliche Spielkontrolle und Zug zum Tor. Einfach nur fantastisch von unserer Mannschaft.
70404173,1,ZeitOnline,20240614211114,21,Super gespielt Jungs!
70404159,1,ZeitOnline,20240614211012,55,"Wer hätte gedacht, dass Deutschland 6 Tore schießt? ;-)"
70404151,1,ZeitOnline,20240614210938,18,Schottland unter. 
70404128,1,ZeitOnline,20240614210754,23,Schlaaaaaaaaaaaaaand!!!
