Nummer,Text,laenge,Englisch,preprocessedDE,preprocessedEN,GoogleTranslator
1,Diese Verkündung des EM-Kaders war einfach stark! ,50,This announcement of the European Championship squad was simply amazing!,"['Verkündung', 'Emkader', 'einfach', 'stark']","['announcement', 'european', 'championship', 'squad', 'simply', 'amazing']",This announcement of the European Championship squad was simply strong!
2,Also ich mag dich trotzdem.,27,So I still like you.,"['mögen', 'trotzdem']","['still', 'like']",So I still like you.
3,"Eine dreiste Unverschämtheit, insbesondere angesichts ihrer vorherigen ausdrücklichen Ablehnung. Ich hoffe, die müssen ihr eine abartige Summe zahlen. Alles andere würde nicht abschreckend wirken.",195,"A brazen impertinence, especially in view of her previous explicit refusal. I hope they have to pay her an outrageous sum. Anything else would not be a deterrent.","['dreist', 'Unverschämtheit', 'insbesondere', 'angesichts', 'vorherig', 'ausdrücklich', 'Ablehnung', 'hoffen', 'müssen', 'abartig', 'Summe', 'zahlen', 'abschreckend', 'wirken']","['brazen', 'impertinence', 'especially', 'view', 'previous', 'explicit', 'refusal', 'hope', 'pay', 'outrageous', 'sum', 'anything', 'else', 'would', 'deterrent']","A blatant impertinence, especially in light of her previous explicit refusal. I hope they have to pay her an outrageous sum. Anything less would not have a deterrent effect."
4,"Lase dich nicht unterkriegen, lebe dein Leben wie du es für richtig hältst egal was die anderen sagen es ist dein Leben und mach das beste draus.",145,"Don't let it get you down, live your life as you see fit no matter what anyone says, it's your life and make the best of it.","['lesen', 'unterkriegen', 'leben', 'Leben', 'richtig', 'halten', 'egal', 'sagen', 'Leben', 'gut', 'draus']","['dont', 'let', 'get', 'dow', 'live', 'life', 'see', 'fit', 'matt', 'anyone', 'says', 'life', 'make', 'best']","Don't let yourself be defeated, live your life as you see fit, no matter what others say, it's your life and make the best of it."
5,Endlich geht die Beste Serie weiter.,36,At last the best series continues.,"['endlich', 'gehen', 'gut', 'Serie']","['lesen', 'best', 'serie', 'continues']",Finally the best series continues.
6,"Ihr könnt ja nochmal ein Update Video bei der Luftwaffe machen also so nen Kombi Video mit Kampfflugzeugen, Transportmaschinen usw zusammen",139,"You can make another update video with the air force, so a combination video with fighter planes, transport planes etc. together","['ja', 'nochmal', 'updat', 'Video', 'Luftwaffe', 'Nen', 'Kombi', 'Video', 'Kampfflugzeug', 'Transportmaschine', 'Usw', 'zusammen']","['make', 'another', 'update', 'video', 'air', 'force', 'combination', 'video', 'fighter', 'plan', 'transport', 'plan', 'etc', 'together']","You can make another update video on the Air Force, a combination video with fighter planes, transport aircraft, etc."
7,Super Spiel. Die Trikots sind ja mal richtig geil. Vereinen tradition mit einem modernen Touch. Sehr schön.,107,Super game. The jerseys are really cool. Combining tradition with a modern touch. Very nice.,"['super', 'Spiel', 'Trikot', 'ja', 'mal', 'richtig', 'geil', 'Verein', 'Tradition', 'modern', 'Touch', 'schön']","['super', 'game', 'jersey', 'really', 'cool', 'combining', 'tradition', 'modern', 'touch', 'nice']",Great game. The jerseys are really cool. They combine tradition with a modern touch. Very nice.
8,"In Deutschland wächst bald nichts mehr, nur noch der Staat...",61,"Soon nothing will grow in Germany, only the state...","['Deutschland', 'wachsen', 'bald', 'mehr', 'Staat']","['soon', 'nothing', 'grow', 'germany', 'state']","Soon nothing will grow in Germany, only the state..."
9,An alle Helfer*innen: ihr seit in meinem Herzen,47,To all helpers: you are in my heart,"['all', 'Helferin', 'seit', 'Herz']","['helpers', 'heart']",To all helpers: you are in my heart
10,"Alles nur, weil D zu blöd ist für Digitalisierung in der Verwaltung...",70,All because Germany is too stupid for digitization in administration...,"['D', 'blöd', 'Digitalisierung', 'Verwaltung']","['germany', 'stupid', 'digitization', 'administration']",All because Germany is too stupid for digitalization in administration...
