Nummer,Min,Max,Spannweite,Mittelwert,Varianz,Standardabweichung,Median,25Quantil,75Quantil,Sentiment
1,0.2,0.9,0.7,6.357142857142857,0.5497354497354496,0.23446437890124155,0.6,0.5,0.9,positiv
2,-0.2,0.6,0.8,2.7142857142857144,0.5544973544973546,0.23547767505590728,0.3,0.1,0.425,positiv
3,-1.0,0.0,1.0,-6.785714285714286,0.5878306878306879,0.2424521989652162,-0.7,-0.825,-0.6,negativ
4,-0.1,1.0,1.1,4.892857142857143,0.758068783068783,0.27533048924316084,0.5,0.375,0.625,positiv
5,-0.4,1.0,1.4,6.142857142857143,0.9904761904761905,0.3147183169877773,0.6,0.475,0.825,positiv
6,-0.2,0.8,1.0,0.4642857142857143,0.4554232804232804,0.2134064854739144,0.0,0.0,0.0,neutral
7,0.5,1.0,0.5,7.535714285714286,0.3220899470899471,0.17946864547601266,0.75,0.6,0.9,positiv
8,-1.0,-0.2,0.8,-4.642857142857143,0.4238095238095238,0.20586634591635514,-0.4,-0.6,-0.3,negativ
9,0.2,1.0,0.8,6.821428571428571,0.4374338624338624,0.20914919613373187,0.7,0.6,0.8,positiv
10,-1.0,-0.2,0.8,-5.428571428571429,0.43280423280423275,0.20803947529356845,-0.55,-0.7,-0.4,negativ
11,-0.5,0.8,1.3,4.75,0.7453703703703703,0.2730147194512359,0.5,0.375,0.625,positiv
12,-0.6,0.2,0.8,-0.8571428571428571,0.2052910052910053,0.14327979804948265,-0.1,-0.1,0.0,neutral
13,-0.7,0.3,1.0,0.10714285714285714,0.2543650793650793,0.15948826896203974,0.0,0.0,0.0,neutral
14,0.2,1.0,0.8,7.392857142857143,0.43955026455026447,0.20965454074507056,0.8,0.6,0.9,positiv
15,-0.8,-0.1,0.7000000000000001,-4.392857142857143,0.29880952380952375,0.17286107827082525,-0.45,-0.6,-0.3,negativ
16,-0.4,1.0,1.4,6.0,0.962962962962963,0.3103164454170876,0.7,0.5,0.8,positiv
17,-0.4,1.0,1.4,6.178571428571429,0.9041005291005291,0.30068264484345103,0.7,0.4,0.8,positiv
18,-0.8,0.4,1.2000000000000002,-5.0,0.7925925925925925,0.2815302102071095,-0.6,-0.7,-0.4,negativ
19,-0.2,1.0,1.2,6.392857142857143,0.758068783068783,0.27533048924316084,0.7,0.5,0.8,positiv
20,-1.0,0.0,1.0,-8.214285714285714,0.6693121693121692,0.25871068190396956,-1.0,-1.0,-0.675,negativ
21,-0.8,0.6,1.4,-4.464285714285714,0.7220899470899472,0.2687173137499605,-0.5,-0.6,-0.3,negativ
22,-0.5,0.1,0.6,-0.42857142857142855,0.15873015873015872,0.12598815766974242,0.0,0.0,0.0,neutral
23,-1.0,0.6,1.6,-6.642857142857143,1.2460317460317456,0.35299174863327126,-0.8,-0.9,-0.5,negativ
24,-0.6,1.0,1.6,6.678571428571429,0.9337301587301587,0.3055699852292693,0.7,0.6,0.9,positiv
25,-0.9,-0.2,0.7,-5.821428571428571,0.318915343915344,0.17858201026848813,-0.6,-0.7,-0.5,negativ
26,0.2,1.0,0.8,6.714285714285714,0.4582010582010582,0.21405631459993377,0.7,0.5,0.8,positiv
27,-1.0,-0.2,0.8,-6.678571428571429,0.5189153439153439,0.2277971342917518,-0.7,-0.8,-0.5,negativ
28,-1.0,-0.2,0.8,-6.035714285714286,0.38134920634920627,0.19528164438810072,-0.6,-0.7,-0.5,negativ
29,-0.4,1.0,1.4,5.678571428571429,0.955952380952381,0.3091847960285856,0.6,0.4,0.8,positiv
30,0.0,0.6,0.6,1.1428571428571428,0.22751322751322758,0.15083541610418544,0.1,0.0,0.2,neutral
31,0.4,0.9,0.5,6.178571428571429,0.2003968253968254,0.14156158567804522,0.6,0.5,0.7,positiv
32,-1.0,0.0,1.0,-4.107142857142857,0.6543650793650791,0.2558056057566134,-0.35,-0.6,-0.275,negativ
33,0.0,0.9,0.9,5.535714285714286,0.3294973544973546,0.18152061990235563,0.6,0.5,0.6,positiv
34,-1.0,-0.2,0.8,-6.071428571428571,0.44391534391534393,0.21069298609952442,-0.6,-0.7,-0.475,negativ
35,-1.0,0.9,1.9,-7.464285714285714,1.4998677248677246,0.3872812575981085,-0.9,-1.0,-0.7,negativ
36,-0.3,1.0,1.3,6.642857142857143,0.6978835978835979,0.2641748659285356,0.7,0.6,0.8,positiv
37,-0.9,0.1,1.0,-4.214285714285714,0.587830687830688,0.24245219896521625,-0.4,-0.525,-0.275,negativ
38,-0.7,0.5,1.2,-3.357142857142857,0.646031746031746,0.2541715456206194,-0.4,-0.5,-0.2,negativ
39,-0.8,0.1,0.9,-3.3214285714285716,0.4152116402116402,0.2037674263005842,-0.3,-0.425,-0.2,negativ
40,0.0,0.6,0.6,1.4642857142857142,0.2628306878306878,0.1621205378200701,0.1,0.0,0.2,neutral
41,-0.6,1.0,1.6,5.464285714285714,2.0628306878306883,0.45418395918731963,0.7,0.375,0.9,positiv
42,-0.7,0.6,1.2999999999999998,-3.392857142857143,0.6839947089947089,0.2615329250772661,-0.4,-0.5,-0.2,negativ
43,-1.0,0.5,1.5,-0.17857142857142858,0.5633597883597884,0.23735201460273903,0.0,0.0,0.025,neutral
44,-0.9,-0.2,0.7,-5.0,0.3851851851851852,0.19626135258506325,-0.5,-0.7,-0.4,negativ
45,0.0,1.0,1.0,6.535714285714286,0.6035714285714288,0.24567690745599774,0.7,0.5,0.825,positiv
46,-0.5,0.1,0.6,-2.2142857142857144,0.1656084656084656,0.1286889527537098,-0.2,-0.3,-0.1,neutral
47,-1.0,0.5,1.5,-6.928571428571429,1.043915343915344,0.3230967879622674,-0.8,-0.9,-0.575,negativ
48,0.1,0.7,0.6,4.25,0.36018518518518516,0.18978545391709692,0.5,0.2,0.6,positiv
49,-0.6,0.3,0.8999999999999999,-2.5357142857142856,0.34431216931216935,0.18555650603311363,-0.2,-0.4,-0.2,negativ
50,0.0,1.0,1.0,5.857142857142857,0.7534391534391536,0.27448846122180687,0.6,0.4,0.8,positiv
51,-0.4,0.2,0.6000000000000001,-0.03571428571428571,0.09986772486772487,0.09993384054849733,0.0,0.0,0.0,neutral
52,0.1,0.9,0.8,4.785714285714286,0.3211640211640212,0.17921049666914637,0.5,0.375,0.6,positiv
53,-1.0,0.6,1.6,-6.928571428571429,1.1328042328042327,0.33657157229989476,-0.8,-0.9,-0.575,negativ
54,-1.0,0.6,1.6,-7.178571428571429,1.4152116402116404,0.3761929877352368,-0.8,-1.0,-0.675,negativ
55,-0.8,0.1,0.9,-0.5714285714285714,0.3216931216931217,0.17935805576921315,0.0,0.0,0.0,neutral
56,-0.8,-0.1,0.7000000000000001,-3.392857142857143,0.2543650793650793,0.15948826896203974,-0.3,-0.4,-0.2,negativ
57,-1.0,0.9,1.9,-3.3214285714285716,1.059656084656085,0.3255235912581583,-0.35,-0.5,-0.2,negativ
