KommentarId,QuellenId,Plattform,Partei,Datum,Length,KommentarDEU,KommentarENG,sentimentDEU,sentimentENG
18024934186862038,226,Instagram,DieGruenen,20240316143026,52,"Yeah, endlich geht ihr in die Offensive. Weiter so 👏","Yeah, you're finally going on the offensive. Keep it up 👏",0.6284288018941879,0.9471358908340336
18154863568314492,226,Instagram,DieGruenen,20240313230158,124,Oh man darf wieder kommentieren…. Nein zu Verfolgung auf Grundlagen eines auf ein rassismus beruhenden Prohibitionsgesetzes.,"Oh, you can comment again... No to persecution on the basis of a prohibition law based on racism.",-0.6397379487752914,-0.6621469389647245
17952502616758678,226,Instagram,DieGruenen,20240312125424,10,@metztilly,@metztilly,0.2352937906980514,0.086377777159214
18046784746623998,226,Instagram,DieGruenen,20240312125142,89,"Bashing, Framing, Washing und dann: Copy Paste 🙈👎🏽. Mann tut was Mann kann 🤷🏽‍♀️🧚🏽‍♀️🌝🌚🌻💚","Bashing, framing, washing and then: copy paste 🙈👎🏽. You do what you can 🤷🏽‍♀️🧚🏽‍♀️🌝🌚🌻💚",-0.425464779138565,-0.3979086093604564
18013218899191868,226,Instagram,DieGruenen,20240312105315,40,Hahah top 🔝 discounter binge watching 🙌💚,Hahah top 🔝 discounter binge watching 🙌💚,0.6247925162315369,0.958310437737964
17999562572281092,226,Instagram,DieGruenen,20240312085803,80,"Bisschen schwierig animiert, da Jonas das ja jetzt auch auf euer Programm sagt 👀","A bit difficult to animate, since Jonas now says that on your program 👀",0.1071167588233947,-0.4787817057222128
17865165162092688,226,Instagram,DieGruenen,20240312085316,29,Das kennt ihr ja von Annalena,You know that from Annalena,0.425780326128006,0.0131798684597015
18044233282640572,226,Instagram,DieGruenen,20240312085304,44,Öhm das wort schützen is jz schon copyright?,"Um, the word protect is now copyright?",-0.4682372212409973,-0.2063720468431711
17985257147634535,226,Instagram,DieGruenen,20240312050322,296,"Es macht null komma null sinn, dass die grünen in den ländern anfangen gegen CanG zu sein u d somit den wählerwillen von 4 millionen Konsumenten missachten. Sollten die grünen länder CanG zum 1.4 verhindern. Habt ihr mir und viele andere unterstützer verloren. Die Quittung kommt! #europawahl2024","It makes absolutely no sense that the Greens in the states are starting to oppose CanG and thus disregard the will of 4 million consumers. If the Greens in the states prevent CanG on April 1st, you have lost me and many other supporters. The bill is coming! #europeanelections2024",-0.2453804984688758,-0.867284731939435
18078081775454122,226,Instagram,DieGruenen,20240312044020,1,💚,💚,-0.0278149247169494,0.8440767861902714
18099818914387591,226,Instagram,DieGruenen,20240312003642,47,Jonas es macht 0 Sinn dass du jetzt hier bist 😂,Jonas it makes no sense that you are here now 😂,-0.6497120708227158,-0.790872149169445
18050249014592611,226,Instagram,DieGruenen,20240312000534,87,Zum Schutz Europas gehört auch ein effektiver Schutz der Außengrenzen! Frontex stärken!,Protecting Europe also includes effective protection of its external borders! Strengthen Frontex!,-0.0184661149978637,0.4770059790462255
18226508047258969,226,Instagram,DieGruenen,20240311223528,119,Die CDU hat jahrelang nichts gemacht und strukturell so verkackt das selbst Jonas besseren Schutz bietet als der Staat.,The CDU has done nothing for years and has structurally screwed up so badly that even Jonas offers better protection than the state.,-0.6471515484154224,-0.9356729746796192
17912702780912155,226,Instagram,DieGruenen,20240311213822,34,soo guuut! Bitte mehr so content 🔥,soo goooood! Please more content like this 🔥,0.6793947368860245,0.9830854395404458
