KommentarId,QuellenId,Plattform,Partei,Datum,Length,KommentarDEU,KommentarENG,sentimentDEU,sentimentENG
17969605409603759,1,Instagram,CDU,20240510080213,123,nee stimmt nicht es würde alles billiger werden ganz einfach erklärt diesen vereintestaaten model ist kompliziert und teuer,"no, that's not true, everything would be cheaper, very simply explained, this United States model is complicated and expensive",-0.302067831158638,-0.5610149838030338
17933426768747968,1,Instagram,CDU,20240426080838,48,Ihr seid doch nur die Steigbügelhalter der USA 😂,You are just the stirrup holders of the USA 😂,-0.5885176509618759,-0.684326559305191
18021439823150163,1,Instagram,CDU,20240423185656,40,Sieht man an England. Totale Katastrophe,Look at England. Total catastrophe,-0.6727332174777985,-0.8859169706702232
17870230728092248,1,Instagram,CDU,20240419150622,212,Solange die CDU sich gegen die AfD sperrt  ist sie unwählbar. Zusammen mit der AfD haben wir nämlich eine konservative Mehrheit! Daher wähle ich die AfD auch um den aufkeimenden linksgrünen Faschismus zu stoppen!,"As long as the CDU blocks the AfD, it is unelectable. Together with the AfD, we have a conservative majority! That is why I am voting for the AfD to stop the emerging left-green fascism!",-0.2574241980910301,-0.0061168372631073
18055236244592897,1,Instagram,CDU,20240417155010,18,Ampel Propaganda 👎,Traffic light propaganda 👎,-0.16275604814291,-0.8755693808197975
18019501498997441,1,Instagram,CDU,20240417020102,75,Noch katastrophaler als es schon ist??? Kann ich mir nicht vorstellen 😂😂😂😂😂,Even more catastrophic than it already is??? I can't imagine 😂😂😂😂😂,-0.665020078420639,-0.8751421421766281
17999172809611317,1,Instagram,CDU,20240416073946,7,Afd top,AfD top,-0.26845814287662506,0.154972393065691
17974436987554662,1,Instagram,CDU,20240416045003,141,"Wie sind wir den rein gekommen? Mit noch grösseren Folgen für Deutschland. Die EU war, ist und bleibt eine Tod Geburt in ihrer jetzigen Form.","How did we get in? With even greater consequences for Germany. The EU was, is and remains a stillborn in its current form.",-0.5939977690577507,-0.8519419310614467
18063072205479530,1,Instagram,CDU,20240415173802,41,Die gesamte Seite besteht aus Populismus.,The whole site is populism.,-0.6405039206147194,-0.8738799644634128
18061730335489138,1,Instagram,CDU,20240415151820,168,"Eine CDU, die nur mit Ampelparteien und der Linken koalieren will ist für bürgerliche Wähler nicht wählbar. Da bleibt halt nur eine Alternative nämlich die Alternative.","A CDU that only wants to form a coalition with traffic light parties and the Left is not electable for middle-class voters. There is only one alternative left, namely the alternative.",-0.5522548109292984,-0.7769376132637262
17863518444103460,1,Instagram,CDU,20240415151335,59,"Wenn die EU so bleibt, ist sie mehr schädlich als nützlich.","If the EU remains as it is, it will do more harm than good.",-0.4926302134990692,-0.8430474027991295
17920165994876469,1,Instagram,CDU,20240415151234,25,Das ist die Unwahrheit!!!,This is untrue!!!,-0.6896408572793007,-0.8486639782786369
18012967982078384,1,Instagram,CDU,20240415074028,22,EU muss stärker werden,EU must become stronger,-0.08010724931955338,0.5084681957960129
17878510019997154,1,Instagram,CDU,20240415073947,93,"Gegen die linken Parteien, mit ihren wirtschaftsschädlichen Sozialismus, schreibt ihr nichts.",You don't write anything against the left-wing parties and their economically damaging socialism.,-0.5634248480200768,-0.7223368650302291
18005448851221095,1,Instagram,CDU,20240415051344,230,"Einfach nur peinlich. Jeder (vernünftige) Vertriebler lernt von Beginn an, dass es unseriös ist, den Wettbewerb schlecht zu reden. Konzentriert euch auf euch!  Man sieht einfach wie weit weg ihr mittlerweile von der Realität seid.",Just embarrassing. Every (sensible) sales person learns from the start that it is not serious to speak badly about the competition. Concentrate on yourselves! It's easy to see how far removed you are from reality.,-0.73228769749403,-0.9114628741517663
18023757470029138,1,Instagram,CDU,20240415044945,184,Was sie hier schreiben stimmt nicht und das hat Herr höcke auch genau erklärt worum es eigentlich geht. Man soll schon bei der Wahrheit bleiben meine Damen und Herren so geht es nicht.,"What you are writing here is not true and Mr Höcke has explained exactly what it is all about. We should stick to the truth, ladies and gentlemen, this is not the way to do it.",-0.63438531011343,-0.8566980944015086
18021099974173038,1,Instagram,CDU,20240415034908,43,Die Katastrophe begann mit dem Eintritt....,The catastrophe began with the entry...,-0.26315535604953766,-0.8798188138753176
17849236209188840,1,Instagram,CDU,20240414231244,133,4000 Beamte der EU verdienen mehr als der Bundeskanzler. Die EU ist ein reiner Selbstbedienungsladen und Bevormundungsorgan geworden!,"4,000 EU officials earn more than the German Chancellor. The EU has become a pure self-service shop and paternalistic body!",-0.42731814086437225,-0.49808168411254883
18007880333181610,1,Instagram,CDU,20240414202609,68,"Wir gehen schon  wirtschaftlich nieder,  euch noch nicht aufgefallen","We are already going down economically, you haven't noticed yet",-0.339216873049736,-0.7091589905321598
17997824807567815,1,Instagram,CDU,20240414171429,95,Die Grünen oder die SPD als zukünftiger Koalitionspartner wird Deutschland leider nicht helfen…,"Unfortunately, the Greens or the SPD as a future coalition partner will not help Germany…",-0.5090377628803253,-0.8597517525777221
18230082250258370,1,Instagram,CDU,20240414165153,60,Deshalb auch KEINE Zusammenarbeit mit Armut für Deutsche?🤔 😂,Therefore NO cooperation with poverty for Germans?🤔 😂,-0.5499357059597969,-0.4455596059560776
17925976712776231,1,Instagram,CDU,20240414125728,59,Bin kein afd Mensch aber wir müssen raus aus der EU scheiss,I'm not an AfD person but we have to get out of the EU shit,-0.713212788105011,-0.75878094881773
