KommentarId,QuellenId,Plattform,Partei,Datum,Length,KommentarDEU,KommentarENG,sentimentDEU,sentimentENG
18045746143725064,118,Instagram,SPD,20240411104404,34,Nee Genossen......gewiss nicht!!!!,No comrades......certainly not!!!!,-0.5690527111291885,-0.692148145288229
17989275812630610,118,Instagram,SPD,20240321141945,23,😂😂😂😂😂...bestimmt nicht.,😂😂😂😂😂...definitely not.,-0.4724096953868866,-0.1803182661533355
18400239196069186,118,Instagram,SPD,20240315130527,20,SPD wählen? Niemals.,Vote for the SPD? Never.,-0.6496676802635193,-0.681142047047615
18018155822124324,118,Instagram,SPD,20240314191218,79,"Wer euch wählt, wählt den Untergang von D. Viel fehlt ja nich mehr bis dahin...",Whoever votes for you is voting for the downfall of Germany. It's not far off now...,-0.6597570553421974,-0.8110060077160597
17972188799549156,118,Instagram,SPD,20240313170344,26,Ohne #CanG gibts garnix!!!,Without #CanG there is nothing!!!,0.2182937860488891,-0.5393164455890656
18053504023569451,118,Instagram,SPD,20240313113126,38,Der 22.3 wird Wegweisend! Nein zum VA!,March 22nd will be groundbreaking! No to the VA!,-0.0488172024488449,0.5173809938132763
17994680195577230,118,Instagram,SPD,20240313095550,149,Meine auch natürlich spd und grüne hoffe u.a die Cannabis Legalisierung klappt zum 1 April.will endlich kein krimineller mehr sein wegen eigen Konsum,"My SPD and Greens also hope, among other things, that cannabis legalization will work by April 1st. I finally don't want to be a criminal anymore because of my own consumption",-0.1378379464149475,0.2943977415561676
18008669117467071,118,Instagram,SPD,20240313090632,251,"ich freue mich schon so sehr, damit ich euch mal wieder aus 🇩🇪 eine so dermaßend politische Ohrfeige verpassen kann, denn ihr scheint ja mittlerweile so dermaßend politisch verblendet und verwahrlost zu sein was schon unerträglich für D. geworden ist.","I'm so looking forward to giving you another political slap in the face from 🇩🇪, because you seem to have become so politically blinded and neglected that it has become unbearable for D.",-0.2995933145284652,-0.8981677033007145
18023801500866703,118,Instagram,SPD,20240313071647,144,"Haltet erstmal euer Wahlversprechen!!
Ein Vermittlungsausschuss wäre für MILLIONEN Menschen ein herber Schlag ins Gesicht!!! CanG zum 1.April!!!","First of all, keep your election promises!!

A mediation committee would be a bitter slap in the face for MILLIONS of people!!! CanG on April 1st!!!",-0.4435566365718841,-0.7662670407444239
17997971936309964,118,Instagram,SPD,20240312204357,27,Ist das Satire? Sozenbande?,Is this satire? Socialist gang?,-0.7053147032856941,-0.6627203710377216
17974673771667712,118,Instagram,SPD,20240312131422,19,Bestimmt nicht SPD.,Certainly not SPD.,-0.5157878398895264,-0.2973987609148025
18064941862506103,118,Instagram,SPD,20240312091330,164,Ohne CanG zum 01.04 bekommt keine der Ampel Parteien mehr Stimmen von mir und ich glaube Millionen anderen geht es genau so 👀#keinVA haltet euer Versprechen endlich,Without CanG on 01.04 none of the traffic light parties will get any more votes from me and I think millions of others feel the same way 👀#keinVA finally keep your promise,-0.4028651937842369,-0.4149760380387306
17906512601931961,118,Instagram,SPD,20240312073325,206,"Nein danke 😢 Deutschland muss wieder demokratisch werden, ihr habt die Demokratie zerstört..Helmut Schmidt dreht sich im grabe um, wenn er das erleben  müsste,  und ihr würdet ihn aus der Partei  rauswerfen","No thanks 😢 Germany must become democratic again, you have destroyed democracy..Helmut Schmidt would turn in his grave if he had to experience this, and you would throw him out of the party",-0.6756807938218117,-0.9346668310463428
18024970690996218,118,Instagram,SPD,20240311225358,78,"Ich lese immer ohne CanG keine Stimme, ich bin für ohne Taurus keine Stimme 🔥.","I always read no voice without CanG, I am for no voice without Taurus 🔥.",-0.5479622632265091,0.1399326473474502
18420314494024385,118,Instagram,SPD,20240311220004,52,"😂😂😂😂Nichtskönner, ausser die eigenen Taschen füllen.",😂😂😂😂Incompetent to do anything except line their own pockets.,-0.3493888527154922,-0.8779301103204489
18013473569269924,118,Instagram,SPD,20240311191616,15,Bestimmt nicht.,Definitely not.,-0.3842486888170242,-0.1096061170101165
