KommentarId,QuellenId,Plattform,Partei,Datum,Length,KommentarDEU,KommentarENG,sentimentDEU,sentimentENG
18026783039153756,283,Instagram,AFD,20240604215520,59,"Unscharf, weil der Putin Freund Dr. M. Krah im Studio ist??",Blurred because Putin's friend Dr. M. Krah is in the studio??,-0.2749950587749481,-0.3779589030891657
17951664173701720,283,Instagram,AFD,20240404155443,35,Ich habe trotzdem Angst vor der AFD,I am still afraid of the AFD,-0.3351165950298309,-0.8232526108622551
18031878538901612,283,Instagram,AFD,20240402181402,1,😂,😂,-0.0278149247169494,0.2809762582182884
18109546252372687,283,Instagram,AFD,20240402062558,5,👏👏👏👏👏,👏👏👏👏👏,-0.0278149247169494,0.8929705815389752
18263132485225669,283,Instagram,AFD,20240329173614,191,"Wurde auch besprochen wie viel Geld die Kandidaten über #voicesofeurope vom Kreml bekommen haben. Wir sollten nicht vergessen, dass die rechtsextreme AFD vor allem Putins Interessen vertritt.",It was also discussed how much money the candidates received from the Kremlin via #voicesofeurope. We should not forget that the right-wing extremist AfD primarily represents Putin's interests.,-0.3348731696605682,-0.4550533071160316
18019904548958062,283,Instagram,AFD,20240329135422,239,"Die USA macht bei der Einreise Fotos. Nur das Hilft und schafft Ordnung. Unter Millionen Menschen kann man eine Person schnell heraus finden.
Super.
Das müsste Deutschland auch schnell einführen.
Bei der RAF hat's 2024 auch geklappt.
.
💧💧💧","The USA takes photos when entering the country. That's the only thing that helps and creates order. You can quickly identify a person among millions of people.
Great.
Germany should introduce that quickly too.
It worked with the RAF in 2024.
.
💧💧💧",-0.1179110705852508,0.7328710332512856
18038870482772685,283,Instagram,AFD,20240329122127,56,Ihr lasst von Russland bestecken ohne uns deutsches Volk,"You let Russia do the work without us, the German people",-0.5145733878016472,-0.7305775284767151
17989842086447685,283,Instagram,AFD,20240328200047,70,Anständige Menschen machen sich nicht mit diesem braunen Pöbel gemein!,Decent people do not associate with this brown mob!,-0.6543108075857162,-0.8944620173424482
18040235992743059,283,Instagram,AFD,20240327184436,35,Heimatliebe ist kein Verbrechen!🇩🇪🦅,Love of country is not a crime!🇩🇪🦅,0.4816223382949829,0.8376057334244251
18029192239801046,283,Instagram,AFD,20240326134728,2020,"ACHTUNG: „ Der Aufstieg der AfD ist in erster Linie ein Erfolg ihrer Medienstrategie. Ohne ihr hoch strategisches Vorgehen – und das Zusammenspiel mit der „Lügenpresse“ – ist ihr Triumph jedenfalls nicht zu verstehen. Faktisch hat die AfD eine neuartige Form der Propaganda in der deutschen Politik etabliert. Dazu haben aber auch massive Fehler der großen Medien maßgeblich beigetragen.

Das Verhältnis der AfD zum Journalismus wirkt auf den ersten Blick schizophren, doch es folgt einem klaren Kalkül: Die AfD verteufelt die unabhängigen Medien als „Systempresse“, gleichzeitig braucht sie sie als Bühne für ihre Inszenierungen, Provokationen und Abgrenzungen zum politischen Feind. 

Die erste Stufe ihrer Strategie der „Propaganda 4.0“ ist die 
>>>> Delegitimierung der etablierten Medien. Der dadurch entstandene Bedarf nach wahrhaftigen Informationen wird in 
Stufe zwei durch den 
>>>> Aufbau von parteigebundenen Alternativmedien im Internet befriedigt. In den sozialen Bereichen dieser Kanäle entsteht ein >>>> digitales Volk, die dritte Stufe der Propaganda 4.0. Der 
vierte und letzte Baustein ist die 
>>>> Aufmerksamkeitsmaximierung und Abgrenzung zum politischen Gegner in der medialen Arena.

Für all das braucht die AfD die Massenmedien. Die Partei lädt daher Journalisten zu Hintergrundgesprächen ein, verschickt eifrig Pressemitteilungen und setzt sich allzu gerne in Talkshows öffentlich-rechtlicher Sender, die sie eigentlich abschaffen will – mit dem Ziel, die Deutungshoheit über die mediale Berichterstattung zu erobern. Kontrolle ist ein leitendes Motiv für die AfD bei ihrem Umgang mit den Medien. … Ihre Antwort auf ein geringes Maß an Kontrolle ist die Restriktion der Arbeit von Journalisten, sprich die Einschränkung der Pressefreiheit. So verwehrt sie bei Parteitagen oder anderen Veranstaltungen Journalisten die Akkreditierung, wirft sie aus dem Saal oder maßregelt sie von der Bühne aus. Nur kontrollierbare, das heißt unkritische Medien sind bei der AfD willkommene Medien. „","ATTENTION: “The rise of the AfD is primarily a success of its media strategy. Without its highly strategic approach - and the interaction with the ""lying press"" - its triumph is incomprehensible. In fact, the AfD has established a new form of propaganda in German politics. However, massive errors by the major media have also contributed significantly to this. 

The AfD's relationship to journalism seems schizophrenic at first glance, but it follows a clear calculation: the AfD demonizes the independent media as the ""system press"", while at the same time it needs them as a stage for its staging, provocations and distancing itself from the political enemy. 

The first stage of its ""Propaganda 4.0"" strategy is the 
>>>> delegitimization of the established media. The resulting need for truthful information is satisfied in 
stage two by the 
>>>> development of party-affiliated alternative media on the Internet. In the social areas of these channels, a >>>> digital people is emerging, the third stage of Propaganda 4.0. The 
fourth and final building block is the 
>>>> maximization of attention and demarcation from political opponents in the media arena. 

The AfD needs the mass media for all of this. The party therefore invites journalists to background discussions, eagerly sends out press releases and is only too happy to appear on talk shows on public broadcasters that it actually wants to abolish - with the aim of gaining sovereignty over media reporting. Control is a leading motive for the AfD in its dealings with the media. ... Its response to a low level of control is to restrict the work of journalists, in other words to restrict freedom of the press. For example, it denies journalists accreditation at party conferences or other events, throws them out of the hall or reprimands them from the stage. Only controllable, i.e. uncritical, media are welcome media for the AfD. """,-0.0218575894832611,-0.0916609466075897
