,Nummer,Text,laenge,Englisch,preprocessedDE,preprocessedEN
0,1,Diese Verkündung des EM-Kaders war einfach stark! ,50,This announcement of the European Championship squad was simply amazing!,"['Verkündung', 'Emkader', 'einfach', 'stark']","['announcement', 'european', 'championship', 'squad', 'simply', 'amazing']"
1,2,Also ich mag dich trotzdem.,27,So I still like you.,"['mögen', 'trotzdem']","['still', 'like']"
2,3,"Eine dreiste Unverschämtheit, insbesondere angesichts ihrer vorherigen ausdrücklichen Ablehnung. Ich hoffe, die müssen ihr eine abartige Summe zahlen. Alles andere würde nicht abschreckend wirken.",196,"A brazen impertinence, especially in view of her previous explicit refusal. I hope they have to pay her an outrageous sum. Anything else would not be a deterrent.","['dreist', 'Unverschämtheit', 'insbesondere', 'angesichts', 'vorherig', 'ausdrücklich', 'Ablehnung', 'hoffen', 'müssen', 'abartig', 'Summe', 'zahlen', 'abschreckend', 'wirken']","['brazen', 'impertinence', 'especially', 'view', 'previous', 'explicit', 'refusal', 'hope', 'pay', 'outrageous', 'sum', 'anything', 'else', 'would', 'deterrent']"
3,4,"Lase dich nicht unterkriegen, lebe dein Leben wie du es für richtig hältst egal was die anderen sagen es ist dein Leben und mach das beste draus.",145,"Don't let it get you down, live your life as you see fit no matter what anyone says, it's your life and make the best of it.","['lesen', 'unterkriegen', 'leben', 'Leben', 'richtig', 'halten', 'egal', 'sagen', 'Leben', 'gut', 'draus']","['dont', 'let', 'get', 'dow', 'live', 'life', 'see', 'fit', 'matt', 'anyone', 'says', 'life', 'make', 'best']"
4,5,Endlich geht die Beste Serie weiter.,36,At last the best series continues.,"['endlich', 'gehen', 'gut', 'Serie']","['lesen', 'best', 'serie', 'continues']"
5,6,"Ihr könnt ja nochmal ein Update Video bei der Luftwaffe machen also so nen Kombi Video mit Kampfflugzeugen, Transportmaschinen usw zusammen",139,"You can make another update video with the air force, so a combination video with fighter planes, transport planes etc. together","['ja', 'nochmal', 'updat', 'Video', 'Luftwaffe', 'Nen', 'Kombi', 'Video', 'Kampfflugzeug', 'Transportmaschine', 'Usw', 'zusammen']","['make', 'another', 'update', 'video', 'air', 'force', 'combination', 'video', 'fighter', 'plan', 'transport', 'plan', 'etc', 'together']"
6,7,Super Spiel. Die Trikots sind ja mal richtig geil. Vereinen tradition mit einem modernen Touch. Sehr schön.,107,Super game. The jerseys are really cool. Combining tradition with a modern touch. Very nice.,"['super', 'Spiel', 'Trikot', 'ja', 'mal', 'richtig', 'geil', 'Verein', 'Tradition', 'modern', 'Touch', 'schön']","['super', 'game', 'jersey', 'really', 'cool', 'combining', 'tradition', 'modern', 'touch', 'nice']"
7,8,"In Deutschland wächst bald nichts mehr, nur noch der Staat...",61,"Soon nothing will grow in Germany, only the state...","['Deutschland', 'wachsen', 'bald', 'mehr', 'Staat']","['soon', 'nothing', 'grow', 'germany', 'state']"
8,9,An alle Helfer*innen: ihr seit in meinem Herzen,47,To all helpers: you are in my heart,"['all', 'Helferin', 'seit', 'Herz']","['helpers', 'heart']"
9,10,"Alles nur, weil D zu blöd ist für Digitalisierung in der Verwaltung...",70,All because Germany is too stupid for digitization in administration...,"['D', 'blöd', 'Digitalisierung', 'Verwaltung']","['germany', 'stupid', 'digitization', 'administration']"
10,11,"Wow, ich hab neurale Netze noch nie wirklich verstanden, aber das Video hats echt toll und verständlich erklärt, und dann auch noch von jmd der seinen Doktor darüber geschrieben hat :D",184,"Wow, I've never really understood neural networks, but the video explained it really well and understandably, and then also from someone who wrote his doctorate about it :D","['Wow', 'neural', 'Netz', 'nie', 'wirklich', 'verstehen', 'Video', 'hats', 'echt', 'toll', 'verständlich', 'erklären', 'Jmd', 'Doktor', 'darüber', 'schreiben', 'D']","['wow', 'ive', 'never', 'really', 'understood', 'neural', 'network', 'video', 'explained', 'really', 'well', 'understandably', 'also', 'someone', 'wrote', 'doctorate']"
11,12,"Bargeld kommt immer mehr aus der Mode. Auch in Deutschland setzen sich zeitgemäße digitale Zahlungsmittel durch. Die nächste Generation wird nicht mehr wissen, was Münzen sind.",176,"Cash is increasingly going out of fashion. In Germany, too, modern digital means of payment are gaining ground. The next generation will no longer know what coins are.","['Bargeld', 'kommen', 'immer', 'mehr', 'Mode', 'Deutschland', 'setzen', 'zeitgemäß', 'digital', 'Zahlungsmittel', 'nächst', 'Generation', 'mehr', 'wissen', 'Münze']","['cash', 'increasingly', 'going', 'fashion', 'germany', 'modern', 'digital', 'means', 'payment', 'gaining', 'ground', 'next', 'generation', 'longer', 'know', 'coins']"
12,13,Wie heißt der Song im Hintergrund?,34,What is the name of the song in the background?,"['heißen', 'Song', 'Hintergrund']","['name', 'song', 'background']"
13,14,"Bin so stolz auf meine neun Monate bei Airbus in Bremen. Bester Job den ich je hatte, und wenigsten einmal im Leben mit Profis arbeiten dürfen. Danke für die klasse Doku WELT.",175,"I am so proud of my nine months at Airbus in Bremen. Best job I've ever had, and at least once in my life I got to work with professionals. Thanks for the great documentary WELT.","['stolz', 'neun', 'Monat', 'Airbus', 'Bremen', 'gut', 'Job', 'je', 'wenig', 'Leben', 'Profi', 'arbeiten', 'dürfen', 'danken', 'Klasse', 'Doku', 'Welt']","['proud', 'nine', 'months', 'airbus', 'bremen', 'best', 'job', 'ive', 'ever', 'haben', 'leasen', 'life', 'got', 'work', 'professional', 'thanks', 'great', 'documentary', 'welt']"
14,15,"Noch ist gar nichts aufregendes passiert, aber schon hagelt es Verbote. Nicht das die EU am Ende ähnlich wie China eher ein Intranet betreibt, statt einem offenen Internet mit allen Zugängen zu Apps und Anwendungen.",215,"Nothing exciting has happened yet, but bans are already raining down. Not that the EU will end up operating an intranet like China instead of an open Internet with access to all apps and applications.","['gar', 'aufregend', 'passieren', 'schon', 'hageln', 'Verbot', 'Eu', 'Ende', 'ähnlich', 'China', 'eher', 'Intranet', 'betreiben', 'statt', 'offen', 'Internet', 'all', 'Zugang', 'App', 'Anwendung']","['nothing', 'exciting', 'happened', 'yet', 'bans', 'already', 'raining', 'dow', 'eu', 'wollen', 'enden', 'operating', 'intranet', 'like', 'china', 'instead', 'open', 'internet', 'access', 'apps', 'applications']"
15,16,"Ich bin immer wieder  begeistert, wie Neutral und unpolitisch ARD und ZDF über diverse Themen  berichten...einfach nur vorbildlich ...so und wirklich nur so, geht neutraler Journalismus..!",188,I am always amazed at how neutral and apolitical ARD and ZDF report on various topics...simply exemplary ...this is the only way neutral journalism works...!,"['immer', 'begeistert', 'neutral', 'unpolitisch', 'Ard', 'Zdf', 'divers', 'Thema', 'berichteneinfach', 'vorbildlich', 'wirklich', 'gehen', 'neutral', 'Journalismus']","['always', 'amazed', 'neutral', 'apolitical', 'ard', 'zdf', 'report', 'various', 'topicssimply', 'exemplary', 'way', 'neutral', 'journalism', 'works']"
16,17,"Tolle, inspirierende Rede!",26,"Great, inspiring speech!","['toll', 'inspirierend', 'Rede']","['great', 'inspiring', 'speech']"
17,18,"Wenn man mehr Angelegenheiten online abwickeln könnte, wie es in einigen Ländern schon längst üblich ist, gäbe es an der Stelle weniger Probleme. Wir brauchen Politiker, die nicht im letzten Jahrhundert aufgehört haben sich zu entwickeln. ER kann es nicht.",256,"If more matters could be dealt with online, as has long been the case in some countries, there would be fewer problems here. We need politicians who didn't stop developing in the last century. HE can't do it.","['mehr', 'Angelegenheit', 'online', 'abwickeln', 'Land', 'schon', 'längst', 'üblich', 'geben', 'Stelle', 'wenig', 'Problem', 'brauchen', 'Politiker', 'letzt', 'Jahrhundert', 'aufhören', 'entwickeln']","['matters', 'could', 'dealt', 'online', 'long', 'case', 'countries', 'ther', 'would', 'gut', 'fewer', 'problem', 'need', 'politicians', 'didnen', 'stop', 'developing', 'lesen', 'century', 'cant']"
18,19,Danke an alle Helfereure Arbeit ist so wichtig für diese armen Seelen,69,Thanks to all the helpers work is so important for these poor souls,"['danke', 'all', 'Helfereur', 'Arbeit', 'wichtig', 'arm', 'Seele']","['thanks', 'helpers', 'work', 'important', 'poor', 'souls']"
19,20,"Für dich kann man eig, nur puren ekel empfinden.",48,One can only feel pure disgust for you.,"['eigen', 'pur', 'Ekel', 'empfinden']","['one', 'ca', 'feel', 'pur', 'disgusen']"
20,21,Wenn man schon für ein Bürgeramt Termin monatelang warten muss dann läuft da gewaltig was schief.,97,"If you have to wait months for an appointment at a citizens' office, then something is seriously wrong.","['schon', 'Bürgeramt', 'Termin', 'monatelang', 'warten', 'müssen', 'laufen', 'gewaltig', 'schief']","['wait', 'months', 'appointment', 'citizens', 'office', 'something', 'seriously', 'wrong']"
21,22,"Bei 14 € und 38 Stunden-Woche wären das 2.305 € brutto, bzw. ca. 1.650 - 1.820 € netto (je nach Steuerklasse).",110,"At €14 and a 38-hour week, that would be €2,305 gross, or around €1,650 - €1,820 net (depending on tax bracket).","['14', '€', '38', 'Stundenwoche', '2305', '€', 'brutto', 'Bzw', 'Ca', '1650', '1820', '€', 'netto', 'je', 'Steuerklasse']","['€14', '38hour', 'week', 'would', '€2305', 'gross', 'around', '€1650', '€1820', 'net', 'depending', 'tax', 'bracket']"
22,23,"Tut mir sehr leid das sagen zu müssen, inhaltlich nur Müll und null Bezug zu sämtlichen Vorwürfen, die tausenden Stimmen passen schon zu dem was man hier sieht.",160,"I'm very sorry to have to say this, the content is just garbage and has zero relation to all the accusations, the thousands of votes already match what you see here.","['tun', 'leid', 'sagen', 'müssen', 'inhaltlich', 'Müll', 'null', 'Bezug', 'sämtlich', 'Vorwurf', 'tausend', 'Stimme', 'passen', 'schon', 'sehen']","['sorry', 'say', 'content', 'garbage', 'zero', 'relation', 'accusations', 'thousands', 'votes', 'already', 'match', 'see']"
23,24,oh mein Gott diese Nostalgiegefühle die in mir hochkommen :°) Der Typ ist einfach Teil meiner Kindheit und dafür liebe ich ihn,126,oh my god these nostalgic feelings that come up in me :°) The guy is just part of my childhood and I love him for that,"['oh', 'Gott', 'Nostalgiegefühl', 'hochkommen', '°', 'Typ', 'einfach', 'Teil', 'Kindheit', 'dafür', 'lieben']","['oh', 'god', 'nostalgic', 'feelings', 'come', '°', 'guy', 'part', 'childhood', 'love']"
