StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q18_1,Q19_1,Q20_1,Q21_1,Q22_1,Q23_1,Q24_1,Q25_1,Q26_1,Q27_1,Q28_1,Q29_1,Q30_1,Q31_1,Q32_1,Q33_1,Q34_1,Q35_1,Q36_1,Q37_1,Q38_1,Q39_1,Q40_1,Q41_1,Q42_1,Q43_1,Q44_1,Q45_1,Q46_1,Q47_1,Q48_1,Q49_1,Q50_1,Q51_1,Q52_1,Q53_1,Q54_1,Q55_1,Q56_1,Q57_1,Q58_1,Q59_1,Q60_1,Q61_1,Q62_1,Q63_1,Q64_1,Q65_1,Q66_1,Q67_1,Q68_1,Q69_1,Q70_1,Q71_1,Q72_1,Q73_1,Q74_1,Q75_1,Q76_1,Q77_1,Q78_1,Q79_1,Q80_1,Q81_1,Q82_1,Q83_1,Q84_1,Q85_1,Q86_1,Q87_1,Q88_1,Q89_1,Q90_1,Q91_1,Q92_1,Q93_1,Q94_1,Q95_1,Q96_1,Q97_1,Q98_1,Q99_1,Q100_1
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Diese Verkündung des EM-Kaders war einfach stark! - Sentiment,Also ich mag dich trotzdem. - Sentiment,"Eine dreiste Unverschämtheit, insbesondere angesichts ihrer vorherigen ausdrücklichen Ablehnung. Ich hoffe, die müssen ihr eine abartige Summe zahlen. Alles andere würde nicht abschreckend wirken. - Sentiment","Lase dich nicht unterkriegen, lebe dein Leben wie du es für richtig hältst egal was die anderen sagen es ist dein Leben und mach das beste draus. - Sentiment",Endlich geht die Beste Serie weiter. - Sentiment,"Ihr könnt ja nochmal ein Update Video bei der Luftwaffe machen also so nen Kombi Video mit Kampfflugzeugen, Transportmaschinen usw zusammen - Sentiment",Super Spiel. Die Trikots sind ja mal richtig geil. Vereinen tradition mit einem modernen Touch. Sehr schön. - Sentiment,"In Deutschland wächst bald nichts mehr, nur noch der Staat... - Sentiment",An alle Helfer*innen: ihr seit in meinem Herzen - Sentiment,"Alles nur, weil D zu blöd ist für Digitalisierung in der Verwaltung... - Sentiment","Wow, ich hab neurale Netze noch nie wirklich verstanden, aber das Video hats echt toll und verständlich erklärt, und dann auch noch von jmd der seinen Doktor darüber geschrieben hat :D - Sentiment","Bargeld kommt immer mehr aus der Mode. Auch in Deutschland setzen sich zeitgemäße digitale Zahlungsmittel durch. Die nächste Generation wird nicht mehr wissen, was Münzen sind. - Sentiment",Wie heißt der Song im Hintergrund? - Sentiment,"Bin so stolz auf meine neun Monate bei Airbus in Bremen. Bester Job den ich je hatte, und wenigsten einmal im Leben mit Profis arbeiten dürfen. Danke für die klasse Doku WELT. - Sentiment","Noch ist gar nichts aufregendes passiert, aber schon hagelt es Verbote. Nicht das die EU am Ende ähnlich wie China eher ein Intranet betreibt, statt einem offenen Internet mit allen Zugängen zu Apps und Anwendungen. - Sentiment","Ich bin immer wieder  begeistert, wie Neutral und unpolitisch ARD und ZDF über diverse Themen  berichten...einfach nur vorbildlich ...so und wirklich nur so, geht neutraler Journalismus..! - Sentiment","Tolle, inspirierende Rede! - Sentiment","Wenn man mehr Angelegenheiten online abwickeln könnte, wie es in einigen Ländern schon längst üblich ist, gäbe es an der Stelle weniger Probleme. Wir brauchen Politiker, die nicht im letzten Jahrhundert aufgehört haben sich zu entwickeln. ER kann es nicht. - Sentiment",Danke an alle Helfereure Arbeit ist so wichtig für diese armen Seelen - Sentiment,"Für dich kann man eig, nur puren ekel empfinden. - Sentiment",Wenn man schon für ein Bürgeramt Termin monatelang warten muss dann läuft da gewaltig was schief. - Sentiment,"Bei 14 € und 38 Stunden-Woche wären das 2.305 € brutto, bzw. ca. 1.650 - 1.820 € netto (je nach Steuerklasse). - Sentiment","Tut mir sehr leid das sagen zu müssen, inhaltlich nur Müll und null Bezug zu sämtlichen Vorwürfen, die tausenden Stimmen passen schon zu dem was man hier sieht. - Sentiment",oh mein Gott diese Nostalgiegefühle die in mir hochkommen :°) Der Typ ist einfach Teil meiner Kindheit und dafür liebe ich ihn - Sentiment,"Kernaussage des Videos Ich möchte das exakte Gegenteil dessen, was die CDU die letzten 16 Jahre gemacht hat. Sehr glaubwürdig. NICHT. - Sentiment","So eine tolle Reportage, einfach danke für diese Ehrlichkeit und Offenheit. Viele Dinge habe ich genauso erlebt und es macht etwas mit einem wenn man sich in seinem Körper nicht zuhause fühlt. - Sentiment","Die USA verstehen halt, dass China unser Todfeind ist und nichts weniger will als die Auslöschung der freien Welt. Wir sind halt unterwürfige, naive Trottel, die nicht bereit sind unsere Freiheit um jeden Preis zu verteidigen. - Sentiment",Ich bin gespannt was nach der Amtszeit von Scholz als Bundeskanzler noch so alles ans Tageslicht kommen wird. Das der bei seiner Vorgeschichte überhaupt Finanzminister und dann Bundeskanzler werden konnte ist schon ein unglaublicher Skandal. - Sentiment,Das Duo von Musiala und Wirtz ist schon köstlich. Da wird man heiß auf die EM. - Sentiment,Ich hab auch erst mit 33 wirklich angefangen zu sparen. Hab jetzt mit 38 ~27.000€ im Depot. Sparrate liegt aktuell bei 550€/Monat. Wenn ich das so weiter schaffe zu sparen hab ich mit 67 irgendwas zwischen 650.000 - 800.000€ vor Steuern. - Sentiment,"Ich bin mega gehyped auf diesen Film, weil ich Teil 1 und 2 gesehen habe. Da muss ich diesen sehen. - Sentiment",Die Elbphilharmonie in Hamburg sollte ursprünglich 77 Millionen kosten. Am Ende mussten 866 Millionen hingeblättert werden. Was sagt man dazu? - Sentiment,"Sehr spannende Doku..man stellt sich als Zuschauer immer alles so einfach vor,aber Respekt was die da leisten. - Sentiment","Überall wo die Politik in der Privatwirtschaft mitmischte gab es das selbe Muster. Unfähigkeit, Dekadenz und Korruption von Volksvertretern und öffentlichen Entscheidungsträgern waren immer dabei mitverantwortlich. - Sentiment",Was ist das blos für ein erbärmlicher Haufen. - Sentiment,"Ich finde es unglaublich wie gut Florian sich ausdrücken kann! Ein Wortschatz von dem sich mancher Gymnasiast was abschauen könnte. Hut ab, weiter so Flo! - Sentiment",Der Spot wurde doch von der Heute-Show gedreht. Das können die doch nicht ernst meinen. - Sentiment,"Ich finde, wenn man sich auf ein Interview vorbereitet oder vorbespricht, sollte man sich doch zumindest soviel Mühe geben, den Gegenüber zu fragen, wie sein oder ihr Name ausgesprochen wird. - Sentiment","Ein teures Gesundheitssystem wird da auch nicht weiter helfen, wenn die Leute von sich aus nicht auf ihre Gesundheit achten - Sentiment","Ich beobachte und kaufe regelmäßig die Kryptowährung Crypton, da ich glaube, dass sie ein ziemlich hohes Wachstumspotenzial hat. - Sentiment",Perfekt zum Einschlafen:))) - Sentiment,irgendwie langweilig.... catcht mich nicht. vllt weil ich nie die deutsche syncro geschaut hab... aber der trailer zieht sich auch sehr - Sentiment,"Mich würde mal eine Rechnung interessieren, wenn der Überschüssige Strom nicht ins Netz eingespeist wird sondern in Wasserstoff gespeichert. HomePowerSolutions bietet eine Interessante Lösung an wobei ich vermute, dass man als 'early adaptor' noch tief in die Tasche greift. Wenn man dadurch autark wird und statt 30% Eigenverbrauch auf 100% kommen kann sollte es ja wesentlich effizienter sein - Sentiment","Es ist mir ein Rätsel, warum die EU sich selbst ökonomisch ins Mittelalter zurückkatapultieren will, indem die Entwicklung jeglicher Zukunftstechnologie erschwert bis verhindert wird. - Sentiment",Vielen Dank für diesen starken Film! - Sentiment,Schade seid ihr nicht in unserem Werk in Emmen/CH vorbeigekommen und ein wenig mehr über die Nutzlastverkleidung/ Fairing gezeigt. - Sentiment,Bin bei Minute 8 und selten so einen Scheiß gehört! - Sentiment,Guter differenzierter Beitrag. - Sentiment,leider kein hummels schade hätte er sich absolut verdient - Sentiment,Das Bild gefällt mir! Vielen Dank! - Sentiment,Ich glaube das wichtigste ist der bewusste Konsum. Das gilt doch für alle Drogen oder? - Sentiment,Danke dass ihr das noch mal aufgreift.Dies darf nicht vergessen werden! - Sentiment,Dieser Werbespot ist eine absolute und dreiste Frechheit. - Sentiment,"Echt traurig,auch so manche geschmacklosen Kommentare hier....Kranke Gesellschaft - Sentiment",In Moskau ist eine Flasche Wodka umgefallen - Sentiment,So lange ein Facharbeiter nicht das Geld bekommt das für eine Familie ausreicht und selbst Doppelverdiener (war früher ein Schimpfwort) das kaum mehr stemmen können gibt es ein Problem. - Sentiment,Für weniger Geld mehr Verantwortung übernehmen. Nein Danke. - Sentiment,Wir haben eine Katze aus Griechenland - Sentiment,Damit würde man dann auch die Rente des Kleinanlegers zerstörten. Aktien sind nun mal die beste Möglichkeit die Rentenlücke zu schließen. Für klein und Normalanleger sollten Aktienverkäufe Steuerfrei sein (nach 10 Jahren Anlage) oder nur wenig besteuert werden. - Sentiment,Können neuronale Netzwerke in Zukunft alle Aufgaben besser ausführen als Menschen oder wo liegen die Grenzen? - Sentiment,"So Leude, Forza ist runtergeladen - Sentiment",Wie schön ist das bitte Das macht so Spaß zuzugucken - Sentiment,"So ein toller junger Mann, er ist durch die Therapie wirklich stärker geworden! Ich würde ihn sofort einstellen! Alles Gute! - Sentiment","Danke an dem WDR für den einfühlsamen Beitrag. Das Elend der Tiere im Süden ist riesig, wenn man weiß, daß es noch einige Shelter dort gibt. Ich danke allen für ihre große Leistung. Vielleicht kann man noch ein Spendenkonto bekannt geben, damit das Tierheim gebaut und  unterstützt werden kann. - Sentiment",Frau Paus scheint als Ministerin heillos überfordert zu sein. - Sentiment,Wie viel Schulden hast du ? Weiß ich nicht. Das und nichts anderes ist der grund warum diese dame schulden hat. - Sentiment,"Steve ist Klasse! Er kann Hunde extrem gut einschätzen und den Menschen somit helfen.....und dem Hund auch, natürlich! - Sentiment","Wer hart arbeitet, soll auch anständig bezahlt werden. Da werden 14 oder 15 Euro oft kaum ausreichen. Besonders Alleinerziehende tragen hohe Belastungen. - Sentiment","Häh? Warum muss sie sich die Miete leihen, wenn sie Geld vom Jobcenter bekommt? Warum schreibt sie keine Bewerbungen? Und warum muss sie unbedingt in Köln bleiben? Ganz viele Fragezeichen... - Sentiment",Abschaum - Sentiment,"Die armen Katzen man, kann man die da nicht irgendwie da rausholen?:( - Sentiment","Die Anbieter können die Anlagen nur dann kostenlos zurück nehmen, wenn es sie dann noch gibt. - Sentiment","Ach Leute, zeigt doch wenigstens den klasse Distanzschuss von Mittelstädt. Hätte ich nur die Zusammenfassung gesehen würde ich denken schlechter Auftritt von ihm. Dabei war es, gerade für sein erstes Länderspiel, gegen so einen Gegner überwiegend absolute Spitze! - Sentiment",Traurig sich so gehen zu lassen. - Sentiment,Nach eigener Erfahrung sind die Betriebe in Niedersachsen absolute Lohn geizer. Ich habe auf diese Einstellung keine keine Lust mehr und werde die Berufsparte wechseln. - Sentiment,Habe nie verstanden warum man die generell feiert oder folgt. Die hat absolut nichts drauf. - Sentiment,"Ein durchaus wichtiges Thema und Anliegen. Aber leider musste ich das Bild ausschalten (nur den Ton hören) wegen der sehr nervigen und ablenkenden Animationen, die die interviewten Personen einrahmen. Ich wurde fast seekrank. Aus persönlicher Sicht verstehe ich nicht, inwiefern diese Art von grafischen Animationen zum Inhalt beitragen kann. - Sentiment","Der Trailer ist jetzt schon besser, als viele filme die letzten jahre.... das wird mein film des jahres!!!!  (= - Sentiment",Wenn ich in einem Land mit der langsamsten digitalen Infrastruktur Europas leben würde…würde ich mich nur vorsichtig über Innovationen anderer Länder lustig machen. - Sentiment,Kroos muss Kapitän werden. - Sentiment,"Sehr gutes Comeback von Kroos. Es war die richtige Entscheidung ihn zurück zu holen, er gehört einfach in die Nationalmannschaft. - Sentiment","Hummels nicht zu nominieren ist der größte Schwachsinn. Die Leistungen die er in den letzten Monaten gebracht hat, waren einfach krank, nicht nur für sein Alter, sondern generell sportlich. Aber da war eh nach der Vorrunde rausfliegen kann ihm das auch eigentlich egal sein. - Sentiment","Ich habe mich schon davor ein bisschen für das Thema KI interessiert. Können Sie vielleicht ein Video machen, wo Sie zeigen, wie weit die Forschung schon in diesem Themen-Bereich ist? Das würde mich sehr freuen! :D - Sentiment","Wer nach diesem Spot noch CDU wählt, dem ist auch nicht mehr zu helfen. - Sentiment",Wie kann man denn in 130 Tagen so fett werden? - Sentiment,Die sind doch jetzt vollkommen krank sag mal gehts noch ganz Ehrlich wenn das kommt hoffe ich auf Bürger krieg - Sentiment,Unangenehm - Sentiment,"Ich bin entsetzt davon, wie ihr den Nebenjob der Zahntechnikerrin darstellt.. Ihr solltet euch künftig mehr hinterfragen. - Sentiment",Einfach nur geil! - Sentiment,"Immer wieder krass zu sehen, was der menschliche Körper aushalten kann. - Sentiment",Wie jede Technologie bietet künstliche Intelligenz Chancen und Risiken. Regulation hat die Aufgabe Risiken zu minimieren und Chancen zu fördern. Ich halte das beschlossene KI-Gesetz für einen guten ersten Schritt. Und natürlich wird man auch nachregulieren müssen. - Sentiment,"Respekt! Sieht so einfach aus, ist aber die größte Hürde überhaupt - Sentiment","Ich habe vor ein paar Monaten mal versucht, einen Termin beim Neurologen zu bekommen. Bei einigen betrug die Wartezeit bis zu sieben Monaten! Wahrscheinlich sterben etliche Patienten bevor sie einen Termin haben. - Sentiment",Bleiben uns seine oberpeinlichen TikTok Beiträge denn jetzt auch erspart? - Sentiment,Würdet Ihr Euch trotz weniger Gehalt für eine Führungsposition entscheiden? - Sentiment,14 Euro sind nicht genug. Ich fordere einen viel höheren Mindestlohn. - Sentiment,"Es wäre interessant, mal zu gucken, wieviel Prozent vom verfügbaren Einkommen in den jeweiligen Ländern für Lebensmittel ausgegeben werden, und das dann in Beziehung zu setzen zu der jeweiligen durchschnittlichen Lebenserwartung. - Sentiment",Es ist im Endeffekt egal was du sagst du hast verkackt. - Sentiment,Deniz Aytekin ist einfach ein super sympatischer Schiedsrichter - Sentiment,Herzlichen Glückwunsch zum Aufstieg Schöne Grüße aus Nürnberg - Sentiment
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID101_1""}","{""ImportId"":""QID102_1""}","{""ImportId"":""QID103_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID74_1""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID104_1""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID80_1""}","{""ImportId"":""QID81_1""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID83_1""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID86_1""}","{""ImportId"":""QID87_1""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID89_1""}","{""ImportId"":""QID90_1""}","{""ImportId"":""QID91_1""}","{""ImportId"":""QID92_1""}","{""ImportId"":""QID93_1""}","{""ImportId"":""QID94_1""}","{""ImportId"":""QID95_1""}","{""ImportId"":""QID96_1""}","{""ImportId"":""QID97_1""}","{""ImportId"":""QID98_1""}","{""ImportId"":""QID99_1""}","{""ImportId"":""QID100_1""}"
2024-05-28 05:46:47,2024-05-28 06:09:48,Survey Preview,100,1381,True,2024-05-28 06:09:49,R_8llOXKzzzvRREA1,preview,EN,9,4,-9,4,6,0,10,-4,5,-8,7,-2,0,10,-6,8,9,-8,8,-10,-6,0,-9,10,-9,9,-10,-9,8,0,8,0,6,-4,-8,9,-5,-2,-2,2,5,-6,5,-7,9,-2,-10,6,-4,7,0,6,-9,-8,0,-3,-6,0,-5,0,0,9,10,10,-8,-7,9,-6,-7,-10,-5,-3,7,-5,-7,-8,-8,10,-3,2,6,-9,2,-7,-9,-10,-6,-8,8,5,4,7,-5,-7,-2,-6,0,-7,8,5
2024-05-30 05:06:57,2024-05-30 05:19:43,IP Address,100,765,True,2024-05-30 05:19:44,R_2ajRDRfUNT3fUeB,anonymous,EN,7,3,-7,4,6,-1,7,-5,7,-4,1,-1,0,9,-5,7,8,-6,7,-10,-3,0,-8,9,-6,5,-5,-7,7,2,6,-4,7,-7,-10,6,-3,-2,-2,0,7,-3,-1,-4,8,-2,-8,4,-2,7,0,5,-8,-10,0,-2,-3,0,-4,-1,0,7,7,6,-5,-3,8,-1,-2,-10,-4,-1,-2,-7,-10,-10,-8,9,-5,3,6,-7,1,-6,-7,-10,-5,-4,10,1,2,6,-6,-8,0,-1,0,-6,7,6
2024-05-30 06:13:36,2024-05-30 06:47:58,IP Address,100,2061,True,2024-05-30 06:47:59,R_8uO0fxJ7n0kALBK,anonymous,EN,6,1,-9,6,5,-1,6,-10,10,-5,8,-2,2,10,-7,6,8,4,10,-10,-7,-5,-10,6,-7,9,-10,-10,7,3,8,-10,6,-9,-9,10,-6,-6,-8,2,-6,-6,0,-8,6,-3,-6,5,-5,6,-1,5,-6,-10,-8,-5,-10,2,-3,-2,2,10,5,3,-8,-7,10,-3,-8,-8,-8,-3,-2,-9,-9,-9,-3,7,-5,-2,6,-7,2,-10,-9,-10,-4,-10,10,6,5,5,-7,-8,-3,-4,0,-8,4,9
2024-05-30 08:42:01,2024-05-30 09:12:29,IP Address,100,1827,True,2024-05-30 09:12:30,R_24r3kQPJndMrp6A,anonymous,EN,9,4,-6,6,9,0,10,-2,10,-8,5,-1,0,9,-6,9,7,-6,10,-10,-5,0,-8,8,-7,8,-7,-7,9,2,9,-6,6,-7,-9,8,-9,-5,-3,0,10,-6,0,-5,8,-3,-9,5,-4,9,0,5,-10,-7,0,-3,-4,0,0,0,0,9,8,8,-8,-6,7,-4,-6,-10,-6,-2,-4,-9,-4,-8,-5,10,-5,2,7,-8,4,-10,-8,-10,-7,-7,10,2,3,9,-6,-5,0,-3,0,-7,9,9
2024-05-31 04:09:16,2024-05-31 04:24:09,IP Address,100,893,True,2024-05-31 04:24:10,R_8ym7JvvC9qebZKI,anonymous,EN,5,0,-5,8,8,0,7,-3,8,-7,8,-1,0,9,-6,8,7,-6,9,-10,-7,0,-8,5,-5,7,-10,-5,5,6,6,-9,6,-5,-10,7,-8,-7,0,0,0,-2,0,-7,7,-1,-9,5,-3,6,-4,5,-8,-10,0,-8,-5,0,5,-2,0,5,8,3,-5,-5,6,0,-8,-10,-6,0,0,-5,-4,-5,-4,7,0,0,9,-8,0,-6,-10,-9,-8,0,8,-5,0,5,-8,-4,0,0,1,-5,6,6
2024-05-30 09:36:55,2024-06-01 08:34:07,IP Address,100,169031,True,2024-06-01 08:34:07,R_8hc8xWDtuswhwVX,anonymous,EN,8,6,-9,8,9,0,9,-4,7,-7,5,0,0,8,-3,0,9,-8,7,-10,-3,0,-9,7,-6,8,-4,-7,9,2,8,-5,6,-6,-10,6,-6,-5,-4,5,8,-5,0,-5,9,-2,-10,7,-6,8,-1,4,-9,-10,0,-4,-5,0,-3,0,1,9,8,7,-6,-4,9,-1,-5,-10,-3,-1,-3,-5,-5,-8,-5,10,-6,1,8,-8,7,-6,-8,-10,-9,-6,9,4,4,7,-7,-6,0,-4,0,-7,8,9
2024-05-30 05:28:50,2024-06-01 08:38:33,IP Address,100,184183,True,2024-06-01 08:38:33,R_2cXL8G9McH6cZem,anonymous,EN,9,5,-6,3,5,0,8,-4,6,-4,2,0,0,8,-4,8,7,-5,8,-10,-5,1,-7,6,-6,6,-4,-6,9,0,6,-4,6,-6,-9,8,-2,-5,-4,0,7,-2,0,-4,9,-3,-9,5,-3,6,-1,6,-10,-9,0,-3,-1,1,-3,0,0,9,6,6,-5,-4,9,-2,-5,-10,-3,-2,-4,-7,-8,-8,-8,10,-4,0,5,-7,2,-9,-6,-10,-6,-5,9,0,5,6,-8,-6,0,-3,0,-8,10,6
2024-06-02 01:18:24,2024-06-02 01:30:57,IP Address,100,752,True,2024-06-02 01:30:58,R_2LebC5NamlefU7I,anonymous,EN,3,2,-7,5,2,0,6,-6,4,-4,5,0,0,8,-4,7,4,-2,6,-9,-3,0,-5,5,-4,7,-7,-7,7,0,5,0,2,-5,-8,5,-5,-2,-2,0,10,-1,0,-2,5,-1,-8,2,-2,2,0,3,-7,-6,0,-2,-2,0,0,0,0,5,8,-9,-7,0,4,0,0,-10,-4,0,-1,-4,-3,-3,-3,6,-3,0,5,-3,2,-5,-3,-7,-4,-4,10,0,0,4,-5,-3,0,0,0,-4,6,2
